title,url,zp,company
Python middle/senior,https://www.superjob.ru/vakansii/python-middle-38517804.html,160 000—200 000руб./месяц,SMMplanner
"Senior Developer (Python/JS) (парт-тайм, опцион)",https://www.superjob.ru/vakansii/senior-developer-38517245.html,от100 000 руб./месяц,Линском
"Программист-инженер С++, Python",https://www.superjob.ru/vakansii/programmist-inzhener-s-38845708.html,100 000руб./месяц,Сапфир Секьюрити Технолоджис
Senior Python Backend Developer / WEB-разработчик,https://www.superjob.ru/vakansii/senior-python-backend-developer-38203421.html,230 000руб./месяц,Perfect Systems
"Аналитик в отдел планирования (SQL, Python/R)",https://www.superjob.ru/vakansii/analitik-v-otdel-planirovaniya-35583105.html,По договорённости,Мегаполис
"Full-stack Developer (Python, Javascript)",https://www.superjob.ru/vakansii/full-stack-developer-38070283.html,от150 000 руб./месяц,Умный Код
Python Backend Team Lead,https://www.superjob.ru/vakansii/python-backend-team-lead-38826745.html,от270 000 руб./месяц,Умные Технологические Решения
Backend Python разработчик,https://www.superjob.ru/vakansii/backend-python-razrabotchik-38611513.html,до250 000 руб./месяц,СКИФ-Проект
Backend Python Django Developer Data Science Computer Vision ML Engineer,https://www.superjob.ru/vakansii/backend-python-django-developer-data-science-computer-vision-ml-engineer-38816403.html,150 000—175 000руб./месяц,Longevity InTime
Full stack разработчик на Python,https://www.superjob.ru/vakansii/full-stack-razrabotchik-na-python-38716913.html,По договорённости,Технопарк «Сколково»
Python developer (Backend) в международную IT-компанию,https://www.superjob.ru/vakansii/python-developer-38909638.html,до230 000 руб./месяц,Оксана Швецова
Программист / Разработчик С++ / Python,https://www.superjob.ru/vakansii/programmist-38715459.html,По договорённости,Деловые Ресурсы
QA Engineer / Тестировщик (Python),https://www.superjob.ru/vakansii/qa-engineer-38807088.html,По договорённости,Межрегиональный ТранзитТелеком
Преподаватель по программированию на Python,https://www.superjob.ru/vakansii/prepodavatel-po-programmirovaniyu-na-python-38678658.html,По договорённости,МФТИ ГУ
Разработчик Python (middle/senior),https://www.superjob.ru/vakansii/razrabotchik-python-38769038.html,По договорённости,Сфера
Python backend-разработчик (проект компьютерное зрение),https://www.superjob.ru/vakansii/python-backend-razrabotchik-38543460.html,По договорённости,Кадровое агентство Инны Стасилович
Инженер по сопровождению ПО,https://www.superjob.ru/vakansii/inzhener-po-soprovozhdeniyu-po-38871842.html,По договорённости,Сбербанк России
Data Engineer,https://www.superjob.ru/vakansii/data-engineer-38716751.html,По договорённости,UniCredit Bank
Разработчик / Старший разработчик баз данных (Oracle/PostgreSQL),https://www.superjob.ru/vakansii/razrabotchik-38513324.html,По договорённости,АШАН Ритейл Россия
Специалист по информационным системам,https://www.superjob.ru/vakansii/specialist-po-informacionnym-sistemam-38868635.html,По договорённости,Научно-производственное предприятие «Специальные Вычислительные Комплексы»
Web-программист Python (Middle/Senior),https://hh.ru/vacancy/47228261?from=vacancy_search_list&query=python,от 170 000 руб.,Сионик
Python Developer,https://hh.ru/vacancy/47582619?from=vacancy_search_list&query=python,,Сбер. IT
Python Developer,https://hh.ru/vacancy/46061485?from=vacancy_search_list&query=python,,Scand
Backend-разработчик (Python),https://hh.ru/vacancy/47614267?from=vacancy_search_list&query=python,300 000 – 800 000 KZT,ТОО SOMNIUM
Data Engineer (аналитик данных),https://hh.ru/vacancy/47041501?from=vacancy_search_list&query=python,,Сбер для экспертов
Data Scientist,https://hh.ru/vacancy/47377173?from=vacancy_search_list&query=python,,Сбер для экспертов
